Dumbledore;I should've known that you would be here, Professor McGonagall.
McGonagall;Good evening, Professor Dumbledore.
McGonagall;Are the rumors true, Albus?
Dumbledore;I'm afraid so, professor.
Hagrid;Professor Dumbledore, sir.
Hagrid;No, sir.
McGonagall;They're the worst sort of Muggles, imaginable.
Dumbledore;It's not really goodbye, after all.
Dudley;Wake up, cousin!
Petunia;Here he comes, the birthday boy.
Vernon;Happy birthday, son.
Petunia;Why don't you just cook the breakfast, and try not to burn anything.
Harry;Yes, Aunt Petunia.
Vernon;Hurry up! Bring my coffee, boy.
Harry;Yes, Uncle Vernon.
Petunia;Aren't they wonderful, darling?
Petunia;is that when we go out, we're going to buy you two new presents.
Petunia;How's that, pumpkin?
Vernon;I'm warning you now, boy.
Vernon;Any funny business, any at all...
Harry;He doesn't understand what it's like, lying there day after day...
Harry;It's just, I've never talked to a snake before.
Harry;I mean, do you talk to people often?
Harry;You're from Burma, aren't you?
Petunia;It's all right, sweetheart.
Harry;I swear, I don't know!
Harry;One minute the glass was there and then it was gone, it was like magic.
Petunia;Vernon, just look at him!
Petunia;In just a week, he'll be off to Smeltings.
Petunia;This is what you'll going to be wearing, when I finish dyeing it.
Dudley;Dad, look! Harry's got a letter!
Harry;Hey, give it back! It's mine!
Petunia;Have a lovely day at the office, dear.
Vernon;Fine day, Sunday.
Vernon;In my opinion, best day of the week.
Vernon;Why is that, Dudley?
Vernon;Right you are, Harry!
Vernon;No blasted letters today! No, sir.
Dudley;Mummy, what's happening?
Vernon;Far away, where they can't find us!
Dudley;Daddy's gone mad, hasn't he?
Harry;Make a wish, Harry.
Vernon;I demand that you leave at once, Sir!
Hagrid;Well, of course you are.
Hagrid;Afraid I might have sat on it at somepoint, but I imagine it'll taste fine just the same.
Hagrid;Baked it myself, words and all.
Hagrid;It's not every day that your young man turns 11, now is it?
Harry;Excuse me, who are you?
Hagrid;Rubeus Hagrid, Keeper of Keys and Grounds at Hogwarts.
Hagrid;Of course, you know all about Hogwarts.
Harry;Sorry, no.
Hagrid;You're a wizard, Harry.
Harry;No, you've made a mistake.
Harry;I mean, I'm just Harry.
Hagrid;Anything you couldn't explain, when you were angry or scared?
Harry;Dear Mr. Potter,
Petunia;Then she met that Potter, and then she had you...
Petunia;Just as strange, just as abnormal.
Hagrid;he'll be under the finest headmaster that Hogwarts has ever seen, Albus Dumbledore.
Hagrid;Strickly speaking, I'm not allowed to do magic.
Hagrid;Ooh, We're a bit behind schedule.
Hagrid;Unless you'd rather stay, of course.
Hagrid;Essential bit of equipment, Harry.
Harry;Hagrid, Do they mean from a real dragon?
Hagrid;They don't mean a penguin, do they?
Hagrid;Vastly misunderstood beasts, Harry.
 either an owl," a cat or a toad."""
Man;Welcome back, Mr. Potter.
Witch;Doris Crockford, Mr Potter.
Hagrid;Hello, professor. I didn't see you there.
Hagrid;Harry, This is Professor Quirrell. 
Harry;Oh, nice to meet you.
Hagrid;See, Harry? You're famous.
Harry;But why am I famous, Hagrid?
Harry;All those people back there, how is it they know who I am?
Hagrid;I'm not sure I'm exactly the right person to tell you that, Harry.
Hagrid;And over there, all your bits and bobs for doing your wizardry.
Hagrid;Well there's your money, Harry.
Hagrid;Gringotts, the wizard bank.
Hagrid;Ain't no safer place, not one.
Harry;Hagrid, what exactly are these things?
Hagrid;They're goblins, Harry.
Hagrid;Oh, Wait a minute.
Hagrid;Oh, and there's something else as well.
Griphook;Lamp, please.
Griphook;Key, please.
Hagrid;Didn't think your mum and dad will leave you with nothing, now did ya?
Harry;What's in there, Hagrid?
Hagrid;Can't tell you, Harry.
Hagrid;Best not to mention this to anyone, Harry.
Hagrid;A wand? Well, you'll want Ollivanders.
Ollivander;I wondered when I'd be seeing you, Mr. Potter.
Harry;Sorry, but what's curious?
Ollivander;I remember every wand I've ever sold, Mr. Potter.
Ollivander;It so happens that the phoenix whose tail feather resides in your wand, gave another feather.
Ollivander;The wand chooses the wizard, Mr. Potter.
Ollivander;After all, He-Who-Must-Not-Be-Named did great things.
Ollivander;Terrible yes, but great
Hagrid;You all right, Harry?
Harry;He killed my parents, didn't he?
Harry;You know, Hagrid. 
Hagrid;First, and understand this Harry because it's very important:
Hagrid;No, I can't spell it.
Hagrid;All right, Voldemort.
Hagrid;It was dark times, Harry. Dark times.
Hagrid;Nobody, not one.
Hagrid;Yes. That ain't no ordinary cut on your forehead, Harry.
Hagrid;A mark like that only comes from being touched by a curse, and an evil curse at that.
Hagrid;Well, some say he died.
Hagrid;Codswallop, in my opinion.
Hagrid;Nope, I reckon he's out there still too tired to carry on.
Hagrid;Blimey, is that the time?
Hagrid;Well, he'll be wanting to see me.
Hagrid;Stick to it, Harry that's very important. 
Harry;There's no such thing, is there?
Harry;Excuse me Sir, Can you tell me where I might find platform 9 3/4?
Trainmaster;9 3/4? Think you're being funny, do ya?
